origin_id,destination_id,entry_cost,network_co,exit_cost,distance
31,40,0.0000000,12400.4561765,0.0000000,12400.4561765
31,48,0.0000000,52577.7994760,0.0000000,52577.7994760
31,52,0.0000000,68061.9702639,0.0000000,68061.9702639
31,53,0.0000000,67627.5579940,0.0000000,67627.5579940
31,54,0.0000000,61142.6837775,0.0000000,61142.6837775
31,57,0.0000000,55301.6121694,0.0000000,55301.6121694
31,58,0.0000000,53367.0938361,0.0000000,53367.0938361
31,60,0.0000000,42228.5129148,0.0000000,42228.5129148
31,61,0.0000000,38078.2043836,0.0000000,38078.2043836
31,62,0.0000000,39707.7378726,0.0000000,39707.7378726
31,63,0.0000000,34798.3145949,0.0000000,34798.3145949
31,64,0.0000000,30091.0559602,0.0000000,30091.0559602
31,66,0.0000000,31517.3886827,0.0000000,31517.3886827
31,67,0.0000000,26241.8608661,0.0000000,26241.8608661
31,68,0.0000000,18884.7699431,0.0000000,18884.7699431
31,69,0.0000000,19418.4578706,0.0000000,19418.4578706
31,77,,,,
31,82,,,,
31,83,,,,
31,84,,,,
31,85,,,,
31,86,,,,
31,87,,,,
31,88,,,,
31,89,,,,
31,90,,,,
32,0,,,,
32,17,,,,
32,18,,,,
32,20,,,,
32,21,,,,
32,23,,,,
32,24,,,,
32,25,,,,
32,29,,,,
32,30,,,,
32,31,0.0000000,2104.6109871,0.0000000,2104.6109871
32,32,,,,
32,33,0.0000000,4057.8212032,0.0000000,4057.8212032
32,35,0.0000000,8095.9968618,0.0000000,8095.9968618
32,36,0.0000000,12675.3961307,0.0000000,12675.3961307
32,38,0.0000000,10892.4015528,39.2041514,10931.6057042
32,39,0.0000000,11421.9465915,0.0000000,11421.9465915
32,40,0.0000000,13976.6191667,0.0000000,13976.6191667
32,48,0.0000000,54153.9624661,0.0000000,54153.9624661
32,52,0.0000000,69638.1332540,0.0000000,69638.1332540
32,53,0.0000000,69203.7209842,0.0000000,69203.7209842
32,54,0.0000000,62718.8467677,0.0000000,62718.8467677
32,57,0.0000000,56877.7751596,0.0000000,56877.7751596
32,58,0.0000000,54943.2568262,0.0000000,54943.2568262
32,60,0.0000000,43804.6759049,0.0000000,43804.6759049
32,61,0.0000000,39654.3673737,0.0000000,39654.3673737
32,62,0.0000000,41283.9008628,0.0000000,41283.9008628
32,63,0.0000000,36374.4775851,0.0000000,36374.4775851
32,64,0.0000000,31667.2189504,0.0000000,31667.2189504
32,66,0.0000000,33093.5516729,0.0000000,33093.5516729
32,67,0.0000000,27818.0238563,0.0000000,27818.0238563
32,68,0.0000000,20460.9329333,0.0000000,20460.9329333
32,69,0.0000000,20994.6208608,0.0000000,20994.6208608
32,77,,,,
32,82,,,,
32,83,,,,
32,84,,,,
32,85,,,,
32,86,,,,
32,87,,,,
32,88,,,,
32,89,,,,
32,90,,,,
33,0,,,,
33,17,,,,
33,18,,,,
33,20,,,,
33,21,,,,
33,23,,,,
33,24,,,,
33,25,,,,
33,29,,,,
33,30,,,,
33,31,,,,
33,32,,,,
33,33,,,,
33,35,0.0000000,4286.9675204,0.0000000,4286.9675204
33,36,0.0000000,8866.3667893,0.0000000,8866.3667893
33,38,0.0000000,7083.3722114,39.2041514,7122.5763628
33,39,0.0000000,7612.9172501,0.0000000,7612.9172501
33,40,0.0000000,10167.5898252,0.0000000,10167.5898252
33,48,0.0000000,50344.9331247,0.0000000,50344.9331247
33,52,0.0000000,65829.1039126,0.0000000,65829.1039126
33,53,0.0000000,65394.6916428,0.0000000,65394.6916428
33,54,0.0000000,58909.8174263,0.0000000,58909.8174263
33,57,0.0000000,53068.7458182,0.0000000,53068.7458182
33,58,0.0000000,51134.2274848,0.0000000,51134.2274848
33,60,0.0000000,39995.6465635,0.0000000,39995.6465635
33,61,0.0000000,35845.3380323,0.0000000,35845.3380323
33,62,0.0000000,37474.8715213,0.0000000,37474.8715213
33,63,0.0000000,32565.4482437,0.0000000,32565.4482437
33,64,0.0000000,27858.1896090,0.0000000,27858.1896090
33,66,0.0000000,29284.5223315,0.0000000,29284.5223315
